year,election,jurisdiction,position,candidate,precinct,vote_count,vote_percent
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1245,9,4.66
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1246,7,5.04
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1247,4,2.33
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1248,9,5.59
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1249,8,5.16
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1250,3,2.1
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1251,9,4.81
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1252,5,1.76
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1254,7,5.11
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1255,8,6.56
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1256,11,7.05
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1257,9,3.78
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1258,3,1.79
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1259,6,4.05
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1408,2,0.5
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1409,3,1.38
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1410,3,2.88
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1411,2,1.42
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1412,3,2.31
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1413,4,1.85
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1414,3,2.65
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1415,8,4.42
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1416,7,3.95
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1418,5,3.4
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1419,6,2.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1420,5,1.74
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1422,4,2.22
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1423,6,4.65
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1424,4,2.27
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1425,0,0
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1426,2,1.67
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1427,5,4.76
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1428,1,1.09
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1429,1,0.83
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1430,4,2.9
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1431,7,3.45
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1432,5,3.09
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1433,2,1.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1434,1,0.8
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1435,3,2.16
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1436,2,2.15
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1437,6,3.45
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1438,2,1.38
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1439,3,2.05
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1440,1,0.88
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1441,2,1.63
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1442,7,4.64
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1443,0,0
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1444,4,1.54
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1446,3,1.76
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1448,2,1.39
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1449,7,5
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1450,6,3.92
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1451,3,1.8
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1452,3,2.91
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1453,2,1.55
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1454,4,3.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1455,5,3.01
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1456,4,2.21
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1457,10,5.56
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1458,2,1.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1459,6,4.51
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1460,7,4.46
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1461,12,6.03
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1462,3,1.73
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1463,2,1.72
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1464,6,2.88
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1465,4,2.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1466,4,2.74
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1467,11,3.51
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1468,7,4.38
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1469,6,5.88
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1470,6,6.45
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1471,8,3.49
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1472,7,5.51
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1473,2,1.49
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1474,10,6.06
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1475,4,2.94
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1476,2,1.39
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1477,5,3.79
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1478,0,0
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1479,6,4.03
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1480,8,2.9
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1481,12,7.32
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1482,4,2.72
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1484,5,3.36
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1485,4,2.7
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1486,5,3.01
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1487,15,6.2
