year,election,jurisdiction,position,candidate,precinct,vote_count,vote_percent
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1245,127,54.04
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1246,102,49.51
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1247,128,56.89
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1248,119,65.03
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1249,132,61.68
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1250,109,64.5
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1251,107,46.93
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1252,214,63.69
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1254,108,68.35
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1255,54,34.18
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1256,139,61.78
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1257,111,40.36
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1258,73,32.16
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1259,91,46.43
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1408,103,22.99
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1409,66,26.09
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1410,20,14.71
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1411,48,25.81
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1412,41,28.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1413,102,38.35
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1414,54,37.24
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1415,106,45.89
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1416,93,43.06
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1418,80,44.94
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1419,102,30.09
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1420,144,38.4
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1422,103,44.78
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1423,120,66.67
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1424,105,43.75
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1425,73,38.83
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1426,57,34.97
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1427,77,44.77
2023,General,City of Seattle,Council District No. 1,Maren Costa,SEA 34-1428,43,34.68
